EN;FR
Acronyms;Acronymes
AMS | Automated Measuring Systems;AMS | Systèmes automatiques de mesurage
AQI | Air Quality Indices;AQI | Indices de qualité de l’air
AR | Application Requirements;AR | Exigences d’application
AWS | Alliance for Water Stewardship;AWS | Alliance for Water Stewardship
BAT | Best Available Technique;MTD | Meilleures techniques disponibles
BAT-AEL | Best Available Technique-Associated Emission Level;NEA-MTD | Niveaux d’émission associés aux meilleures techniques disponibles
BAT-AEPL | Best Available Technique-Associated Environmental Performance Level;NPEA-MTD | Niveaux de performances environnementales associés aux meilleures techniques disponibles.
BREFs | Best Available Techniques Reference Documents;BREF | Documents de référence sur les meilleures techniques disponibles
Btu | British Thermal Units;Btu | British Thermal Unit
CapEx | Capital Expenditure;CapEx | Dépenses d’investissement
CBD | Convention for Biological Diversity;CBD | Convention sur la diversité biologique
CDDA | Common Database on Designated Areas;CDDA | Base de données commune sur les zones désignées
CEN | European Committee for Standardization;CEN | Comité européen de normalisation
CENELEC | European Committee for Electrotechnical Standardization;CENELEC | Comité européen de normalisation électrotechnique
CH4 | Methane;CH4 | Méthane
CICES | Common International Classification of Ecosystem Services;CICES | Classification internationale commune des services écosystémiques
C02 | Carbon Dioxide;C02 | Dioxyde de carbone
CRR | Regulation (EU) 757/2013 of the European Parliament and of the Council (1) (Capital Requirements Regulation);CRR | Règlement (UE) no 757/2013 du Parlement européen et du Conseil (1) (règlement sur les exigences de fonds propres)
DEGURBA | Degree of Urbanisation;DEGURBA | Degré d’urbanisation
DR BP-1 | Disclosure Requirement - General basis for preparation of the sustainability statements;DR BP-1 | Exigence de publication – Base générale d’établissement des déclarations relatives à la durabilité
DR BP-2 | Disclosure Requirement - Disclosures in relation to specific circumstances;DR BP-2 | Exigence de publication – Publication d’informations relatives à des circonstances particulières
DR GOV-1 | Disclosure Requirement - The role of the administrative, management and supervisory bodies;DR GOV-1 | Exigence de publication – Le rôle des organes d’administration, de direction et de surveillance
DR GOV-2 | Disclosure Requirement - Information provided to and sustainability matters addressed by the undertaking’s administrative, management and supervisory bodies;DR GOV-2 | Exigence de publication – Informations transmises aux organes d’administration, de direction et de surveillance de l’entreprise et questions de durabilité traitées par ces organes
DR GOV-3 | Disclosure Requirement - Integration of sustainability- related performance in incentive schemes;DR GOV-3 | Exigence de publication – Intégration des résultats en matière de durabilité dans les systèmes d’incitation
DR GOV-4 | Disclosure Requirement - Statement on sustainability due diligence;DR GOV-4 | Exigence de publication – Déclaration sur la diligence raisonnable en matière de durabilité
DR GOV-5 | Disclosure Requirement - Risk management and internal controls over sustainability reporting;DR GOV-5 | Exigence de publication – Gestion des risques et contrôles internes de l’information en matière de durabilité
DR SBM-1 | Disclosure Requirement - Market position, strategy, business model(s) and value chain;DR SBM-1 | Exigence de publication – Position de marché, stratégie, modèle(s) économique(s) et chaîne de valeur
DR SBM-2 | Disclosure Requirement - Interests and views of stakeholders;DR SBM-2 | Exigence de publication – Intérêts et points de vue des parties intéressées
DR SBM-3 | Disclosure Requirement - Material impacts, risks and opportunities and their interaction with strategy and business model(s);DR SBM-3 | Exigence de publication – Incidences, risques et opportunités importants et leur lien avec la stratégie et le ou les modèles économiques
DR IRO-1 | Disclosure Requirement - Description of the processes to identify and assess material impacts, risks and opportunities;DR IRO-1 | Exigence de publication – Description des procédures d’identification et d’évaluation des incidences, risques et opportunités importants
DR IRO-2 | Disclosure Requirements in ESRS covered by the undertaking’s sustainability statements;DR IRO-2 | Exigences de publication au titre des ESRS couvertes par les déclarations relatives à la durabilité de l’entreprise
DNSH | Do No Significant Harm;DNSH | Principe consistant à «ne pas causer de préjudice important»
DR | Disclosure Requirements;DR | Exigences de publication
EBA | European Banking Authority;ABE | Autorité bancaire européenne
EC | European Commission;CE | Commission européenne
EEA | European Economic Area;EEE | Espace économique européen
EFRAG | European Financial Reporting Advisory Group;EFRAG | Groupe consultatif pour l’information financière en Europe
EFRAG SRB | European Financial Reporting Advisory Group Sustainability | Reporting Board;EFRAG SRB | Conseil d’information en matière de durabilité du Groupe consultatif pour l’information financière en Europe
EIA | Environmental Impact Assessment;EIE | Évaluation des incidences sur l’environnement
EMAS | Eco-Management and Audit Scheme;EMAS | Système de management environnemental et d’audit
EPC | Energy Performance Certificate;CPE | Certificat de performance énergétique
E-PRTR | European Pollutant Release and Transfer Register;E-PRTR | Registre européen des rejets et des transferts de polluants
ESA | European Supervisory Authorities;AES | Autorité européenne de surveillance
ESMA | European Securities and Markets Authority;AEMF | Autorité européenne des marchés financiers
ESRS | European Sustainability Reporting Standards;ESRS | Norme européenne d’information en matière de durabilité
ESRS 1 | European Sustainability Reporting Standard 1 General requirements;ESRS 1 | Norme européenne d’information en matière de durabilité 1 – Exigences générales
